RegionID,Variable,2012,2013,2014,2015
Sydney Inner City 11703,Males - 0-4 years (no.),3838,4013,4103,4136
Sydney Inner City 11703,Males - 5-9 years (no.),1866,2056,2184,2333
Sydney Inner City 11703,Males - 10-14 years (no.),1473,1486,1548,1609
Sydney Inner City 11703,Males - 15-19 years (no.),3297,3541,3795,4024
Sydney Inner City 11703,Males - 20-24 years (no.),12129,12679,13393,14177
Sydney Inner City 11703,Males - 25-29 years (no.),18131,18563,19318,20264
Sydney Inner City 11703,Males - 30-34 years (no.),15632,16082,16624,17343
Sydney Inner City 11703,Males - 35-39 years (no.),10941,11089,11197,11536
Sydney Inner City 11703,Males - 40-44 years (no.),8565,8681,8858,8942
Sydney Inner City 11703,Males - 45-49 years (no.),6525,6631,6776,6922
Sydney Inner City 11703,Males - 50-54 years (no.),5476,5715,5975,6198
Sydney Inner City 11703,Males - 55-59 years (no.),4481,4628,4774,4982
Sydney Inner City 11703,Males - 60-64 years (no.),3796,3846,3999,4125
Sydney Inner City 11703,Males - 65-69 years (no.),2812,3019,3261,3518
Sydney Inner City 11703,Males - 70-74 years (no.),1842,1952,2043,2213
Sydney Inner City 11703,Males - 75-79 years (no.),1342,1365,1411,1456
Sydney Inner City 11703,Males - 80-84 years (no.),857,883,936,1003
Sydney Inner City 11703,Males - 85 and over (no.),542,603,650,710
Sydney Inner City 11703,Females - 0-4 years (no.),3452,3646,3764,3898
Sydney Inner City 11703,Females - 5-9 years (no.),1872,1978,2100,2231
Sydney Inner City 11703,Females - 10-14 years (no.),1548,1622,1710,1761
Sydney Inner City 11703,Females - 15-19 years (no.),3718,4070,4422,4812
Sydney Inner City 11703,Females - 20-24 years (no.),13143,13866,14792,15821
Sydney Inner City 11703,Females - 25-29 years (no.),17085,17546,18306,19425
Sydney Inner City 11703,Females - 30-34 years (no.),13240,13833,14494,15198
Sydney Inner City 11703,Females - 35-39 years (no.),8304,8557,8862,9221
Sydney Inner City 11703,Females - 40-44 years (no.),5883,6185,6412,6541
Sydney Inner City 11703,Females - 45-49 years (no.),4523,4572,4740,5039
Sydney Inner City 11703,Females - 50-54 years (no.),4233,4389,4622,4769
Sydney Inner City 11703,Females - 55-59 years (no.),3967,4054,4138,4342
Sydney Inner City 11703,Females - 60-64 years (no.),3235,3383,3578,3810
Sydney Inner City 11703,Females - 65-69 years (no.),2454,2711,2913,3119
Sydney Inner City 11703,Females - 70-74 years (no.),1745,1790,1898,2103
Sydney Inner City 11703,Females - 75-79 years (no.),1303,1330,1448,1548
Sydney Inner City 11703,Females - 80-84 years (no.),957,981,990,1017
Sydney Inner City 11703,Females - 85 and over (no.),999,1034,1073,1114
Parramatta 12504,Males - 0-4 years (no.),5418,5646,5874,6010
Parramatta 12504,Males - 5-9 years (no.),3934,4149,4344,4629
Parramatta 12504,Males - 10-14 years (no.),3237,3304,3449,3480
Parramatta 12504,Males - 15-19 years (no.),3478,3496,3463,3481
Parramatta 12504,Males - 20-24 years (no.),5118,5093,5141,5128
Parramatta 12504,Males - 25-29 years (no.),7759,7627,7515,7379
Parramatta 12504,Males - 30-34 years (no.),8018,8551,9057,9343
Parramatta 12504,Males - 35-39 years (no.),6142,6503,6932,7363
Parramatta 12504,Males - 40-44 years (no.),4666,4807,4923,5131
Parramatta 12504,Males - 45-49 years (no.),3906,3895,3904,3917
Parramatta 12504,Males - 50-54 years (no.),3582,3642,3684,3652
Parramatta 12504,Males - 55-59 years (no.),2992,3053,3150,3221
Parramatta 12504,Males - 60-64 years (no.),2594,2560,2601,2664
Parramatta 12504,Males - 65-69 years (no.),2338,2455,2473,2441
Parramatta 12504,Males - 70-74 years (no.),1669,1741,1804,1876
Parramatta 12504,Males - 75-79 years (no.),1266,1320,1369,1430
Parramatta 12504,Males - 80-84 years (no.),870,855,882,898
Parramatta 12504,Males - 85 and over (no.),697,755,805,870
Parramatta 12504,Females - 0-4 years (no.),5102,5421,5669,5869
Parramatta 12504,Females - 5-9 years (no.),3751,3904,4120,4373
Parramatta 12504,Females - 10-14 years (no.),3059,3084,3148,3219
Parramatta 12504,Females - 15-19 years (no.),3033,3091,3119,3080
Parramatta 12504,Females - 20-24 years (no.),4621,4516,4462,4357
Parramatta 12504,Females - 25-29 years (no.),7837,7853,7830,7802
Parramatta 12504,Females - 30-34 years (no.),7133,7625,8228,8756
Parramatta 12504,Females - 35-39 years (no.),5181,5380,5631,5904
Parramatta 12504,Females - 40-44 years (no.),4358,4539,4680,4720
Parramatta 12504,Females - 45-49 years (no.),3784,3790,3786,3798
Parramatta 12504,Females - 50-54 years (no.),3492,3582,3688,3695
Parramatta 12504,Females - 55-59 years (no.),3179,3255,3300,3393
Parramatta 12504,Females - 60-64 years (no.),2791,2808,2917,2976
Parramatta 12504,Females - 65-69 years (no.),2450,2584,2675,2697
Parramatta 12504,Females - 70-74 years (no.),1814,1858,1945,2019
Parramatta 12504,Females - 75-79 years (no.),1448,1514,1552,1614
Parramatta 12504,Females - 80-84 years (no.),1233,1237,1242,1230
Parramatta 12504,Females - 85 and over (no.),1714,1701,1708,1686
Newcastle 11103,Males - 0-4 years (no.),5269,5411,5466,5517
Newcastle 11103,Males - 5-9 years (no.),4729,4768,4870,4998
Newcastle 11103,Males - 10-14 years (no.),4559,4547,4490,4452
Newcastle 11103,Males - 15-19 years (no.),5025,4998,5044,5037
Newcastle 11103,Males - 20-24 years (no.),7369,7415,7541,7578
Newcastle 11103,Males - 25-29 years (no.),6991,7014,7039,7117
Newcastle 11103,Males - 30-34 years (no.),6030,6046,6148,6232
Newcastle 11103,Males - 35-39 years (no.),5354,5354,5274,5323
Newcastle 11103,Males - 40-44 years (no.),5487,5622,5658,5609
Newcastle 11103,Males - 45-49 years (no.),5276,5118,5059,5034
Newcastle 11103,Males - 50-54 years (no.),5328,5344,5373,5329
Newcastle 11103,Males - 55-59 years (no.),4934,5034,5048,5097
Newcastle 11103,Males - 60-64 years (no.),4221,4214,4308,4376
Newcastle 11103,Males - 65-69 years (no.),3484,3680,3782,3845
Newcastle 11103,Males - 70-74 years (no.),2610,2652,2729,2861
Newcastle 11103,Males - 75-79 years (no.),2033,2064,2134,2154
Newcastle 11103,Males - 80-84 years (no.),1576,1493,1453,1437
Newcastle 11103,Males - 85 and over (no.),1294,1378,1426,1428
Newcastle 11103,Females - 0-4 years (no.),4835,4912,4929,4970
Newcastle 11103,Females - 5-9 years (no.),4493,4568,4660,4730
Newcastle 11103,Females - 10-14 years (no.),4154,4166,4204,4245
Newcastle 11103,Females - 15-19 years (no.),4796,4800,4770,4758
Newcastle 11103,Females - 20-24 years (no.),7309,7374,7446,7469
Newcastle 11103,Females - 25-29 years (no.),6544,6533,6623,6729
Newcastle 11103,Females - 30-34 years (no.),5601,5809,6002,6128
Newcastle 11103,Females - 35-39 years (no.),5341,5202,5204,5323
Newcastle 11103,Females - 40-44 years (no.),5417,5652,5664,5615
Newcastle 11103,Females - 45-49 years (no.),5257,5116,5099,5212
Newcastle 11103,Females - 50-54 years (no.),5497,5537,5495,5339
Newcastle 11103,Females - 55-59 years (no.),4811,4871,5034,5192
Newcastle 11103,Females - 60-64 years (no.),4247,4387,4533,4533
Newcastle 11103,Females - 65-69 years (no.),3719,3802,3865,4013
Newcastle 11103,Females - 70-74 years (no.),2857,2927,3009,3073
Newcastle 11103,Females - 75-79 years (no.),2592,2570,2594,2634
Newcastle 11103,Females - 80-84 years (no.),2431,2282,2176,2097
Newcastle 11103,Females - 85 and over (no.),2739,2866,2897,2880
Blue Mountains 12401,Males - 0-4 years (no.),2352,2334,2316,2286
Blue Mountains 12401,Males - 5-9 years (no.),2642,2633,2639,2653
Blue Mountains 12401,Males - 10-14 years (no.),2618,2616,2588,2602
Blue Mountains 12401,Males - 15-19 years (no.),2607,2552,2534,2471
Blue Mountains 12401,Males - 20-24 years (no.),2162,2137,2134,2122
Blue Mountains 12401,Males - 25-29 years (no.),1870,1865,1817,1768
Blue Mountains 12401,Males - 30-34 years (no.),1924,1935,1964,1994
Blue Mountains 12401,Males - 35-39 years (no.),2317,2255,2240,2186
Blue Mountains 12401,Males - 40-44 years (no.),2780,2789,2752,2707
Blue Mountains 12401,Males - 45-49 years (no.),2649,2599,2571,2603
Blue Mountains 12401,Males - 50-54 years (no.),2900,2871,2795,2720
Blue Mountains 12401,Males - 55-59 years (no.),2944,2883,2826,2772
Blue Mountains 12401,Males - 60-64 years (no.),2757,2775,2829,2830
Blue Mountains 12401,Males - 65-69 years (no.),2160,2321,2386,2478
Blue Mountains 12401,Males - 70-74 years (no.),1370,1452,1587,1663
Blue Mountains 12401,Males - 75-79 years (no.),919,956,1026,1068
Blue Mountains 12401,Males - 80-84 years (no.),651,652,640,701
Blue Mountains 12401,Males - 85 and over (no.),484,506,515,524
Blue Mountains 12401,Females - 0-4 years (no.),2416,2375,2318,2283
Blue Mountains 12401,Females - 5-9 years (no.),2453,2497,2512,2504
Blue Mountains 12401,Females - 10-14 years (no.),2438,2442,2414,2404
Blue Mountains 12401,Females - 15-19 years (no.),2479,2436,2416,2390
Blue Mountains 12401,Females - 20-24 years (no.),2019,1945,1931,1932
Blue Mountains 12401,Females - 25-29 years (no.),1712,1745,1779,1781
Blue Mountains 12401,Females - 30-34 years (no.),2021,2020,2046,2054
Blue Mountains 12401,Females - 35-39 years (no.),2536,2455,2433,2348
Blue Mountains 12401,Females - 40-44 years (no.),3001,3059,3013,2982
Blue Mountains 12401,Females - 45-49 years (no.),2868,2799,2802,2834
Blue Mountains 12401,Females - 50-54 years (no.),3269,3206,3151,3030
Blue Mountains 12401,Females - 55-59 years (no.),3081,3080,3106,3159
Blue Mountains 12401,Females - 60-64 years (no.),2839,2923,2964,2982
Blue Mountains 12401,Females - 65-69 years (no.),2382,2546,2640,2674
Blue Mountains 12401,Females - 70-74 years (no.),1566,1621,1752,1915
Blue Mountains 12401,Females - 75-79 years (no.),1167,1202,1255,1250
Blue Mountains 12401,Females - 80-84 years (no.),881,883,849,886
Blue Mountains 12401,Females - 85 and over (no.),1074,1099,1087,1080
