RegionID,Year,Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.)
Sydney Inner City 11703,2012,3838,1866,1473,3297,12129,18131,15632,10941,8565,6525,5476,4481,3796,2812,1842,1342,857,542,3452,1872,1548,3718,13143,17085,13240,8304,5883,4523,4233,3967,3235,2454,1745,1303,957,999
Sydney Inner City 11703,2013,4013,2056,1486,3541,12679,18563,16082,11089,8681,6631,5715,4628,3846,3019,1952,1365,883,603,3646,1978,1622,4070,13866,17546,13833,8557,6185,4572,4389,4054,3383,2711,1790,1330,981,1034
Sydney Inner City 11703,2014,4103,2184,1548,3795,13393,19318,16624,11197,8858,6776,5975,4774,3999,3261,2043,1411,936,650,3764,2100,1710,4422,14792,18306,14494,8862,6412,4740,4622,4138,3578,2913,1898,1448,990,1073
Sydney Inner City 11703,2015,4136,2333,1609,4024,14177,20264,17343,11536,8942,6922,6198,4982,4125,3518,2213,1456,1003,710,3898,2231,1761,4812,15821,19425,15198,9221,6541,5039,4769,4342,3810,3119,2103,1548,1017,1114
Parramatta 12504,2012,5418,3934,3237,3478,5118,7759,8018,6142,4666,3906,3582,2992,2594,2338,1669,1266,870,697,5102,3751,3059,3033,4621,7837,7133,5181,4358,3784,3492,3179,2791,2450,1814,1448,1233,1714
Parramatta 12504,2013,5646,4149,3304,3496,5093,7627,8551,6503,4807,3895,3642,3053,2560,2455,1741,1320,855,755,5421,3904,3084,3091,4516,7853,7625,5380,4539,3790,3582,3255,2808,2584,1858,1514,1237,1701
Parramatta 12504,2014,5874,4344,3449,3463,5141,7515,9057,6932,4923,3904,3684,3150,2601,2473,1804,1369,882,805,5669,4120,3148,3119,4462,7830,8228,5631,4680,3786,3688,3300,2917,2675,1945,1552,1242,1708
Parramatta 12504,2015,6010,4629,3480,3481,5128,7379,9343,7363,5131,3917,3652,3221,2664,2441,1876,1430,898,870,5869,4373,3219,3080,4357,7802,8756,5904,4720,3798,3695,3393,2976,2697,2019,1614,1230,1686
Newcastle 11103,2012,5269,4729,4559,5025,7369,6991,6030,5354,5487,5276,5328,4934,4221,3484,2610,2033,1576,1294,4835,4493,4154,4796,7309,6544,5601,5341,5417,5257,5497,4811,4247,3719,2857,2592,2431,2739
Newcastle 11103,2013,5411,4768,4547,4998,7415,7014,6046,5354,5622,5118,5344,5034,4214,3680,2652,2064,1493,1378,4912,4568,4166,4800,7374,6533,5809,5202,5652,5116,5537,4871,4387,3802,2927,2570,2282,2866
Newcastle 11103,2014,5466,4870,4490,5044,7541,7039,6148,5274,5658,5059,5373,5048,4308,3782,2729,2134,1453,1426,4929,4660,4204,4770,7446,6623,6002,5204,5664,5099,5495,5034,4533,3865,3009,2594,2176,2897
Newcastle 11103,2015,5517,4998,4452,5037,7578,7117,6232,5323,5609,5034,5329,5097,4376,3845,2861,2154,1437,1428,4970,4730,4245,4758,7469,6729,6128,5323,5615,5212,5339,5192,4533,4013,3073,2634,2097,2880
Blue Mountains 12401,2012,2352,2642,2618,2607,2162,1870,1924,2317,2780,2649,2900,2944,2757,2160,1370,919,651,484,2416,2453,2438,2479,2019,1712,2021,2536,3001,2868,3269,3081,2839,2382,1566,1167,881,1074
Blue Mountains 12401,2013,2334,2633,2616,2552,2137,1865,1935,2255,2789,2599,2871,2883,2775,2321,1452,956,652,506,2375,2497,2442,2436,1945,1745,2020,2455,3059,2799,3206,3080,2923,2546,1621,1202,883,1099
Blue Mountains 12401,2014,2316,2639,2588,2534,2134,1817,1964,2240,2752,2571,2795,2826,2829,2386,1587,1026,640,515,2318,2512,2414,2416,1931,1779,2046,2433,3013,2802,3151,3106,2964,2640,1752,1255,849,1087
Blue Mountains 12401,2015,2286,2653,2602,2471,2122,1768,1994,2186,2707,2603,2720,2772,2830,2478,1663,1068,701,524,2283,2504,2404,2390,1932,1781,2054,2348,2982,2834,3030,3159,2982,2674,1915,1250,886,1080
