RegionID,Year,Employee income earners (no.),Total employee income ($),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Total own unincorporated business income ($),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Total investment income ($),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Total superannuation and annuity income ($),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Other income earners (excl. Government pensions and allowances) (no.),Total other income (excl. Government pensions and allowances) ($),Median other income (excl. Government pensions and allowances) ($),Mean other income (excl. Government pensions and allowances) ($),Other income (excl. Government pensions and allowances) as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income (excl. Government pensions and allowances) ($),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($)
Sydney Inner City 11703,2012,126949,7220040699,41700,56874,86,15338,537224169,9790,35026,6,79886,727430293,352,9106,7,1845,51697714,16008,28020,1,14440,53166295,115,3682,1,121680,8147732420,47079,66960
Sydney Inner City 11703,2013,133294,7885884776,43854,59162,86,16022,545651914,9940,34056,6,83593,864359520,323,10340,7,1894,50483090,14242,26654,1,14361,58888815,137,4101,1,126064,8849713422,49729,70200
Sydney Inner City 11703,2014,139317,8653035429,45744,62110,85,16788,594411252,10565,35407,6,87748,923839302,313,10528,8,1934,57469456,15703,29715,1,13703,70703928,128,5160,1,130534,9613274976,51534,73646
Sydney Inner City 11703,2015,151034,9813673171,48000,64977,85,17998,668056129,11163,37118,6,97967,1174233981,266,11986,8,2007,60390525,17142,30090,1,14406,80936018,154,5618,1,140108,10748493582,52769,76716
Parramatta 12504,2012,65222,3360864515,46001,51530,84,7915,142058459,11006,17948,6,47828,160045581,291,3346,9,1284,27136010,13975,21134,1,6253,10106929,85,1616,0,70073,3581880651,44248,51116
Parramatta 12504,2013,67674,3609130546,47765,53331,84,8219,156458118,11760,19036,6,48940,173482089,286,3545,9,1354,26854317,11731,19833,1,6066,9130635,94,1505,0,71906,3834524848,46263,53327
Parramatta 12504,2014,70202,3846601879,49199,54793,84,8317,172466857,13063,20737,6,50946,194745823,271,3823,9,1338,29931652,12206,22370,1,5818,11682279,91,2008,0,74163,4077508632,47471,54980
Parramatta 12504,2015,74542,4209427015,50721,56471,83,8734,185102667,13782,21193,6,53926,185578283,232,3441,9,1354,28968979,13086,21395,1,5809,12168566,102,2095,0,77374,4343936891,48871,56142
Newcastle 11103,2012,79511,4216187477,44999,53026,81,8845,272959449,10389,30860,5,60651,394141005,327,6499,12,2585,60302581,16226,23328,1,10043,16477512,73,1641,0,85702,4836901341,45177,56439
Newcastle 11103,2013,81431,4456021048,46400,54721,81,9086,285222932,10539,31391,5,61241,421354294,337,6880,12,2587,60683268,15897,23457,1,9396,16303957,92,1735,0,86203,5077160956,47294,58898
Newcastle 11103,2014,82179,4570426808,47105,55616,81,9293,292771734,10814,31505,5,61409,493765451,361,8041,12,2702,66562236,16850,24634,1,8589,23653280,84,2754,0,86876,5264817016,47850,60602
Newcastle 11103,2015,84969,4844507060,48200,57015,80,9600,326129560,11207,33972,6,63814,467058360,337,7319,13,2905,79813623,17076,27475,2,8610,25011232,89,2905,0,88936,5452102240,48693,61304
Blue Mountains 12401,2012,36668,1982313869,45945,54061,76,6741,139345102,9649,20671,8,30933,160700929,322,5195,13,1925,49834597,18365,25888,2,5284,11881418,109,2249,1,42522,2281535008,43331,53655
Blue Mountains 12401,2013,37078,2055192804,47160,55429,76,6660,141035188,9823,21176,8,31014,167016958,331,5385,13,1858,48471658,18416,26088,2,4983,11891404,132,2386,1,42349,2343793743,44944,55345
Blue Mountains 12401,2014,37856,2148122567,48102,56745,76,6772,151729338,10897,22405,8,31586,179871570,382,5695,13,1766,48846368,19988,27659,2,4653,12644797,128,2718,1,43053,2439231501,45838,56656
Blue Mountains 12401,2015,39474,2288257214,49182,57969,75,7070,163174072,10664,23080,9,32721,184798283,353,5648,13,1778,53164953,20865,29902,2,4822,15409179,136,3196,1,44193,2547895100,46589,57654
