RegionID,Hospital,State,Local Hospital Network (LHN),Time period,Year,Category,Number of patient admissions
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Childbirth,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Childbirth,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Childbirth,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Childbirth,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Childbirth,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Childbirth,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Medical (emergency),132
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Medical (emergency),255
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Medical (emergency),777
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Medical (emergency),598
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Medical (emergency),618
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Medical (emergency),546
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Medical (non-emergency),930
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Medical (non-emergency),984
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Medical (non-emergency),424
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Medical (non-emergency),443
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Medical (non-emergency),320
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Medical (non-emergency),369
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Other acute (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Other acute (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Other acute (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Other acute (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Other acute (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Other acute (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Other acute (non-emergency),3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Other acute (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Other acute (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Other acute (non-emergency),3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Other acute (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Other acute (non-emergency),3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Other subacute and non-acute,12
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Other subacute and non-acute,20
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Other subacute and non-acute,481
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Other subacute and non-acute,725
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Other subacute and non-acute,806
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Other subacute and non-acute,577
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Palliative,11
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Palliative,14
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Palliative,3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Palliative,19
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Palliative,17
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Palliative,11
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Rehabilitation,805
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Rehabilitation,980
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Rehabilitation,587
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Rehabilitation,427
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Rehabilitation,411
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Rehabilitation,536
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Specialist mental health,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Specialist mental health,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Specialist mental health,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Specialist mental health,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Specialist mental health,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Specialist mental health,0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Surgical (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Surgical (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Surgical (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Surgical (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Surgical (emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Surgical (emergency),3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Surgical (non-emergency),3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Surgical (non-emergency),3
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Surgical (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Surgical (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Surgical (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Surgical (non-emergency),0
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2011–12,2012,Total,1890
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2012–13,2013,Total,2253
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2013–14,2014,Total,2269
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2014–15,2015,Total,2212
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2015–16,2016,Total,2172
