RegionID,Hospital,State,Local Hospital Network (LHN),Peer group,Time period,Year,Category,Total number of stays,Number of overnight stays,Percentage of overnight stays,Average length of stay (days),Total overnight patient bed days
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Cellulitis,14,13,93%,NA,126
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Cellulitis,72,67,93%,5.10,342
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Cellulitis,176,156,89%,3.90,609
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Cellulitis,104,89,86%,2.90,260
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Cellulitis,144,118,82%,3.10,367
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Cellulitis,101,94,93%,3.40,316
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Chronic Obstructive Pulmonary Disease (without complications),10,10,100%,NA,90
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Chronic Obstructive Pulmonary Disease (without complications),14,13,93%,NA,75
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Chronic Obstructive Pulmonary Disease (without complications),6,3,NA,NA,28
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Chronic Obstructive Pulmonary Disease (without complications),8,5,NA,NA,34
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Chronic Obstructive Pulmonary Disease (without complications),8,6,NA,NA,23
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Chronic Obstructive Pulmonary Disease (without complications),3,3,NA,NA,9
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Chronic Obstructive Pulmonary Disease (with complications),13,13,100%,NA,141
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Chronic Obstructive Pulmonary Disease (with complications),12,12,100%,NA,105
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Chronic Obstructive Pulmonary Disease (with complications),3,3,NA,NA,25
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Chronic Obstructive Pulmonary Disease (with complications),7,7,NA,NA,34
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Chronic Obstructive Pulmonary Disease (with complications),3,3,NA,NA,17
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Chronic Obstructive Pulmonary Disease (with complications),7,7,NA,NA,43
